"link","provider","rating"
"https://www.classcentral.com/course/swayam-animations-13880","Banaras Hindu University","ANIMATIONs from Banaras Hindu University ★★★★☆(114)"
"https://www.classcentral.com/course/swayam-introduction-to-programming-in-c-2486","Indian Institute of Technology Kanpur","Introduction to Programming in C from Indian Institute of Technology Kanpur ★★★☆☆(2)"
"https://www.classcentral.com/course/swayam-software-engineering-14293","Indian Institute of Technology, Kharagpur","Software Engineering from Indian Institute of Technology, Kharagpur ★★★☆☆(1)"
"https://www.classcentral.com/course/swayam-the-joy-of-computing-using-python-17823","Indian Institute of Technology, Ropar","The Joy of Computing using Python from Indian Institute of Technology, Ropar ★★★★★(1)"
"https://www.classcentral.com/course/swayam-google-cloud-computing-foundation-course-19886","NPTEL","Google Cloud Computing Foundation Course from NPTEL"
"https://www.classcentral.com/course/swayam-cloud-computing-10027","Indian Institute of Technology, Kharagpur","Cloud Computing from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-introduction-to-industry-4-0-and-industrial-internet-of-things-12941","Indian Institute of Technology, Kharagpur","Introduction to Industry 4.0 and Industrial Internet of Things from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-programming-in-java-12930","Indian Institute of Technology, Kharagpur","Programming in Java from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-programming-in-c-6704","Indian Institute of Technology, Kharagpur","Programming in C++ from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-object-oriented-system-development-using-uml-java-and-patterns-19960","Indian Institute of Technology, Kharagpur","Object Oriented System Development using UML, Java and Patterns from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-data-structure-and-algorithms-using-java-19836","Indian Institute of Technology, Kharagpur","Data Structure and algorithms using Java from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-database-management-system-9914","Indian Institute of Technology, Kharagpur","Database Management System from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-introduction-to-r-software-14162","Indian Institute of Technology Kanpur","Introduction to R Software from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-scientific-computing-using-matlab-19992","Indian Institute of Technology Delhi","Scientific Computing using Matlab from Indian Institute of Technology Delhi"
"https://www.classcentral.com/course/swayam-software-testing-14295","Indian Institute of Technology Bangalore","Software testing from Indian Institute of Technology Bangalore"
"https://www.classcentral.com/course/swayam-introduction-to-haskell-programming-10044","Chennai Mathematical Institute","Introduction To Haskell Programming from Chennai Mathematical Institute"
"https://www.classcentral.com/course/swayam-development-of-assistive-technology-for-persons-with-disabilities-17571","AICTE","Development of Assistive technology for persons with Disabilities from AICTE"
"https://www.classcentral.com/course/swayam-cit-003-web-based-technologies-and-multimedia-applications-20229","IGNOU","CIT-003:  Web Based Technologies and Multimedia Applications from IGNOU"
"https://www.classcentral.com/course/swayam-database-and-content-organisation-13985","IGNOU","Database and Content Organisation from IGNOU"
"https://www.classcentral.com/course/swayam-designing-digital-solution-13998","","Designing Digital Solution"
"https://www.classcentral.com/course/swayam-mathematical-economics-14187","Doon University, Dehradun","Mathematical Economics from Doon University, Dehradun ★★★★★(77)"
"https://www.classcentral.com/course/swayam-critical-thinking-13974","AICTE","Critical Thinking from AICTE ★★★★★(1)"
"https://www.classcentral.com/course/swayam-probability-foundations-for-electrical-engineers-9876","Indian Institute of Technology Madras","Probability Foundations for Electrical engineers from Indian Institute of Technology Madras"
"https://www.classcentral.com/course/swayam-engineering-mathematics-i-13000","Indian Institute of Technology, Kharagpur","Engineering Mathematics – I from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-introduction-to-abstract-and-linear-algebra-14142","Indian Institute of Technology, Kharagpur","Introduction to Abstract and Linear Algebra from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-constrained-and-unconstrained-optimization-19832","Indian Institute of Technology, Kharagpur","Constrained and unconstrained optimization from Indian Institute of Technology, Kharagpur"
"https://www.classcentral.com/course/swayam-calculus-of-several-real-variables-13936","Indian Institute of Technology Kanpur","Calculus of Several Real Variables from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-calculus-of-one-real-variable-13935","Indian Institute of Technology Kanpur","Calculus of One Real Variable from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-computational-number-theory-and-algebra-19827","Indian Institute of Technology Kanpur","Computational Number Theory and Algebra from Indian Institute of Technology Kanpur"
"https://www.classcentral.com/course/swayam-a-basic-course-in-number-theory-19788","Indian Institute of Technology Bombay","A basic course in number theory from Indian Institute of Technology Bombay"
